Name,Emp ID,Gender,Education Qualification,Date of Join,Job Title,Salary,Age,Leave Balance
Leilah Yesinin,AC0085,Male,High School Diploma,45043,Research Scientist,76700,31.4,16
Collin Jagson,AC0086,Female,Diploma,43961,Sales Representative,49800,50.3,15
Kellsie Waby,AC0087,Male,Bachelor's Degree,44230,Quality Control,43000,60.8,24
Simon Kembery,AC0088,Female,High School Diploma,44700,Packaging Associate,36200,39.8,14
Tawnya Tickel,AC0089,Male,Diploma,43691,Production Operator,36400,38.3,20
Bernie Gorges,AC0090,Female,Bachelor's Degree,43431,Chocolatier,54900,31.6,17
Florinda Crace,AC0091,Male,Master's Degree,42896,Marketing Manager,74200,30.7,17
Oran Buxcy,AC0092,Male,High School Diploma,45004,Research Analyst,58700,47.3,6
Anvi Verma,AC0093,Female,Diploma,44076,Product Manager,81100,34.6,16
Zara Mishra,AC0094,Female,Bachelor's Degree,43663,Production Operator,38300,33.7,14
Dev Joshi,AC0095,Male,Master's Degree,43444,Chocolatier,51100,36.2,15
Pari Sharma,AC0096,Female,High School Diploma,45050,Marketing Specialist,63500,28.5,20
Aanya Kapoor,AC0097,Female,Bachelor's Degree,44497,Research Scientist,78900,30.3,17
Kiara Choudhary,AC0098,Female,Diploma,43873,Sales Representative,46000,38,21
Reyansh Iyer,AC0099,Male,Bachelor's Degree,43612,Quality Control,44400,35.1,16
Samaira Agarwal,AC0100,Female,High School Diploma,44907,Packaging Associate,36200,39.5,24
Avani Malhotra,AC0101,Female,Diploma,44312,Production Operator,38800,31.9,20
Kiaan Rana,AC0102,Male,Bachelor's Degree,43352,Research Analyst,57800,36.6,15
Aarav Shah,AC0103,Male,Master's Degree,43039,Product Manager,82800,51.8,20
Anaya Gupta,AC0104,Female,High School Diploma,44941,Chocolatier,53900,35.6,15
Munch Munch,AC0105,Male,Diploma,44010,Marketing Manager,73900,30.1,12
Siya Trivedi,AC0106,Female,Bachelor's Degree,43719,Research Scientist,76100,28,16
Kabir Kapoor,AC0107,Male,High School Diploma,44624,Sales Representative,45500,29.3,14
Rhea Saxena,AC0108,Female,Diploma,44364,Quality Control,44600,36.8,10
Advait Sharma,AC0109,Male,Bachelor's Degree,43434,Packaging Associate,36100,27.2,8
Aarush Mishra,AC0110,Male,Master's Degree,42939,Production Operator,35500,29.6,24
Anika Chawla,AC0111,Female,High School Diploma,45057,Research Analyst,58000,33,13
Zara Verma,AC0112,Female,Diploma,44128,Product Manager,81400,35.2,19
Dev Agarwal,AC0113,Male,Bachelor's Degree,43570,Chocolatier,51000,34.8,22
Pari Kumar,AC0114,Female,Master's Degree,43351,Marketing Specialist,61600,31.4,15
Aanya Singh,AC0115,Female,High School Diploma,44529,Research Scientist,77100,31.7,9
Kiara Joshi,AC0116,Female,Diploma,44025,Sales Representative,47900,31.7,9
Reyansh Malhotra,AC0117,Male,Bachelor's Degree,43552,Quality Control,43000,28.2,17
M&M Peanut,AC0118,Female,High School Diploma,44785,Packaging Associate,35100,35.7,21
Avani Agarwal,AC0119,Female,Diploma,44341,Production Operator,39700,31.1,16
Nestle Crunch,AC0120,Male,Bachelor's Degree,43391,Research Analyst,59200,30.9,18
Aarav Verma,AC0121,Male,Master's Degree,42866,Product Manager,85000,65.1,5
Anaya Choudhary,AC0122,Female,High School Diploma,44952,Chocolatier,52700,29.5,10
Krish Trivedi,AC0123,Male,Diploma,44021,Marketing Manager,74900,33.8,11
Siya Rawat,AC0124,Female,Bachelor's Degree,43739,Research Scientist,77500,30.3,14
Kabir Shah,AC0125,Male,High School Diploma,44606,Sales Representative,45900,37.4,16
Rhea Bhatia,AC0126,Female,Diploma,44406,Quality Control,45000,36.3,2
Advait Kumar,AC0127,Male,Bachelor's Degree,43425,Packaging Associate,33100,34.3,9
Aarush Verma,AC0128,Male,Master's Degree,42900,Production Operator,37600,37.9,18
Anika Singh,AC0129,Female,High School Diploma,44933,Research Analyst,58300,29.4,16
Zara Chawla,AC0130,Female,Diploma,44042,Product Manager,83900,31.4,14
Dev Joshi,AC0131,Male,Bachelor's Degree,43822,Chocolatier,51100,33.7,16
Pari Gupta,AC0132,Female,Master's Degree,43359,Marketing Specialist,62900,36.8,15
Aanya Trivedi,AC0133,Female,High School Diploma,44599,Research Scientist,79200,31.4,14
Kiara Bhatia,AC0134,Female,Diploma,44369,Sales Representative,47000,32.3,22
Reyansh Rana,AC0135,Male,Bachelor's Degree,44089,Quality Control,42400,66.2,19
Lindt Truffle,AC0136,Female,High School Diploma,43797,Packaging Associate,33800,66.7,8
Avani Iyer,AC0137,Female,Diploma,44938,Production Operator,36000,31,18
Kiaan Shah,AC0138,Male,Bachelor's Degree,44321,Research Analyst,58500,31.3,23
Oreo Delight,AC0139,Male,Master's Degree,43371,Product Manager,83200,31.6,9
Anaya Agarwal,AC0140,Female,High School Diploma,44692,Chocolatier,51100,32.5,10
Krish Rawat,AC0141,Male,Diploma,44463,Marketing Manager,73200,30.6,12
Siya Sharma,AC0142,Female,Bachelor's Degree,44182,Research Scientist,77800,28.9,6
Kabir Trivedi,AC0143,Male,High School Diploma,44965,Sales Representative,45500,36.1,20
Rhea Malhotra,AC0144,Female,Diploma,44401,Quality Control,41800,31.1,18
Advait Kapoor,AC0145,Male,Bachelor's Degree,43786,Packaging Associate,32600,28.6,37
Zagnut Nut,AC0146,Male,Master's Degree,43383,Production Operator,37600,30.8,9
Anika Joshi,AC0147,Female,High School Diploma,43864,Research Analyst,59500,61.1,18
Zara Verma,AC0148,Female,Diploma,43673,Product Manager,82400,33.8,14
Dev Chawla,AC0149,Male,Bachelor's Degree,44520,Chocolatier,51300,32.7,23
Pari Gupta,AC0150,Female,Master's Degree,43964,Marketing Specialist,61200,44.1,14
Aanya Singh,AC0151,Female,High School Diploma,43683,Research Scientist,78200,27.6,21
Kiara Bhatia,AC0152,Female,Diploma,44986,Sales Representative,48100,37.2,16
Reyansh Rana,AC0153,Male,Bachelor's Degree,44341,Quality Control,44000,30.9,15
Eltin John,AC0154,Female,High School Diploma,44091,Packaging Associate,36000,26,15
Avani Iyer,AC0155,Female,Diploma,43809,Production Operator,37400,46.2,20
Kiaan Shah,AC0156,Male,Bachelor's Degree,43407,Research Analyst,57100,33.9,16
Michael Walkson,AC0157,Male,Master's Degree,43065,Product Manager,82300,34.4,18
Anaya Agarwal,AC0158,Female,High School Diploma,45025,Chocolatier,52900,30.5,8
Krish Rawat,AC0159,Male,Diploma,43984,Marketing Manager,71100,31.6,13
Siya Sharma,AC0160,Female,Bachelor's Degree,43703,Research Scientist,76900,33.2,17
Kabir Trivedi,AC0161,Male,High School Diploma,44639,Sales Representative,46400,37.1,11
